C6: 2,0.0,0.00011686170572329597,0.0021756424157101197,0.008980100234759533,0.009286830784879314,0.02270210741063446,0.034988509504548036,0.03608352315213023,0.038542339525140495,0.03875663031209775,0.04160909944693731,0.046587689344633136,0.06499609254711737,0.07734319814957435,0.08409647985014075,0.1570598888587955,0.15756897509230874,0.16049956572859625,0.18462041726783726,0.19523165479668853,0.20596627750915605,0.2511704397967027,0.2569036050156258,0.2749193855374049,0.2815424302372824,0.2961133568942955,0.3282792437460248,0.3509611128966806,0.37951980393353024,0.4217089697446662,0.6055514974433893,0.6055514974433893,0.6055514974433893,0.6055514974433893,2.7107786249086923,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Deviation,-,5%,10%,15%,15%,20%,25%,25%,30%,30%,30%,30%,35%,40%,40%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,>50%,,,,,,,,,,,,,,,,,,
NodeOverlap,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C20: 15,C7: 15,C12: 14,C2: 16,C4: 18,C26: 26,C42: 24,C14: 29,C8: 17,C40: 18,C24: 8,C47: 46,C27: 7,C38: 7,C37: 53,C29: 60,C18: 62,C52: 6,C13: 73,C51: 5,C10: 104,C41: 6,C5: 123,C1: 143,C23: 5,C36: 5,C53: 5,C17: 8,C15: 4,C31: 7,C46: 8,C50: 4,C43: 4,C11: 5,C16: 4,C48: 3,C25: 3,C9: 3,C32: 3,C3: 3,C30: 3,C35: 2,C33: 2,C19: 2,C44: 2,C39: 2,C6: 2,C34: 2,C21: 2,C45: 1,C28: 1,C49: 1,C22: 1
C7: 15,0.0,0.0,0.000253678121092764,0.0009352719995112683,0.0017491173570094384,-,-,-,0.015292407794737263,0.01635645952881715,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Deviation,5%,-,10%,15%,15%,,,,45%,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NodeOverlap,14,15,14,15,15,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C8: 17,C40: 18,C14: 29,C26: 26,C4: 18,C42: 24,C2: 16,C20: 15,C7: 15,C12: 14,C47: 46,C37: 53,C29: 60,C18: 62,C13: 73,C24: 8,C38: 7,C10: 104,C27: 7,C52: 6,C5: 123,C51: 5,C1: 143,C41: 6,C23: 5,C36: 5,C53: 5,C17: 8,C15: 4,C31: 7,C46: 8,C50: 4,C43: 4,C11: 5,C48: 3,C25: 3,C9: 3,C32: 3,C35: 2,C16: 4,C30: 3,C3: 3,C19: 2,C44: 2,C39: 2,C6: 2,C34: 2,C21: 2,C33: 2,C45: 1,C49: 1,C28: 1,C22: 1
